Station Name,Brand,County,ETIMS Status,Notes,Last Updated,Pump Type,Master IMEI,Slave IMEI,Pump Count,Fuel Types,Total Nozzles,Nozzles per Pump,Installation Date,Latitude,Longitude
"Total Westlands","Total","Nairobi","not-started","","","","","",,"",,"","",-1.2675,36.809
"Shell Karen","Shell","Nairobi","not-started","","","","","",,"",,"","",-1.3195,36.7073
"Rubis Kilimani","Rubis","Nairobi","not-started","","","","","",,"",,"","",-1.2921,36.7822
"Ola Parklands","Ola","Nairobi","not-started","","","","","",,"",,"","",-1.2621,36.8251
"Galana Eastleigh","Galana","Nairobi","not-started","","","","","",,"",,"","",-1.2815,36.8444
"Total CBD","Total","Nairobi","not-started","","","","","",,"",,"","",-1.2864,36.8172
"Shell Upperhill","Shell","Nairobi","not-started","","","","","",,"",,"","",-1.2895,36.8128
"Ola South C","Ola","Nairobi","not-started","","","","","",,"",,"","",-1.3155,36.8297
"Rubis Ngong Road","Rubis","Nairobi","not-started","","","","","",,"",,"","",-1.3012,36.7819
"Galana Industrial Area","Galana","Nairobi","not-started","","","","","",,"",,"","",-1.3214,36.8561
"Hass Lavington","Hass","Nairobi","not-started","","","","","",,"",,"","",-1.2789,36.7756
"Total Yaya Centre","Total","Nairobi","not-started","","","","","",,"",,"","",-1.2852,36.7953
"Shell Sarit Centre","Shell","Nairobi","not-started","","","","","",,"",,"","",-1.2606,36.7974
"Kenol Museum Hill","Kenol","Nairobi","not-started","","","","","",,"",,"","",-1.2701,36.8145
"Kobil Mombasa Road","Kobil","Nairobi","not-started","","","","","",,"",,"","",-1.3086,36.8503
"Delta Langata","Delta","Nairobi","not-started","","","","","",,"",,"","",-1.3523,36.745
"Engen Riverside","Engen","Nairobi","not-started","","","","","",,"",,"","",-1.2678,36.8235
"Total Waiyaki Way","Total","Nairobi","not-started","","","","","",,"",,"","",-1.2592,36.7812
"Shell Kileleshwa","Shell","Nairobi","not-started","","","","","",,"",,"","",-1.2831,36.7832
"Towba Petroleum Embakasi","Towba","Nairobi","not-started","","","","","",,"",,"","",-1.3335,36.9234
"Total Nyali","Total","Mombasa","not-started","","","","","",,"",,"","",-4.0435,39.7159
"Shell Mombasa CBD","Shell","Mombasa","not-started","","","","","",,"",,"","",-4.0511,39.6686
"Rubis Diani","Rubis","Mombasa","not-started","","","","","",,"",,"","",-4.2898,39.5794
"Ola Bamburi","Ola","Mombasa","not-started","","","","","",,"",,"","",-4.013,39.735
"Galana Mtwapa","Galana","Mombasa","not-started","","","","","",,"",,"","",-3.9433,39.7384
"Total Likoni","Total","Mombasa","not-started","","","","","",,"",,"","",-4.0896,39.6753
"Shell Mombasa Road","Shell","Mombasa","not-started","","","","","",,"",,"","",-4.0563,39.6632
"Hass Mombasa","Hass","Mombasa","not-started","","","","","",,"",,"","",-4.0489,39.6705
"Total Kisumu","Total","Kisumu","not-started","","","","","",,"",,"","",-0.0917,34.768
"Shell Kisumu","Shell","Kisumu","not-started","","","","","",,"",,"","",-0.0965,34.7574
"Ola Kisumu","Ola","Kisumu","not-started","","","","","",,"",,"","",-0.1022,34.7617
"Rubis Kisumu","Rubis","Kisumu","not-started","","","","","",,"",,"","",-0.0889,34.7612
"Galana Kisumu","Galana","Kisumu","not-started","","","","","",,"",,"","",-0.0978,34.7701
"Total Nakuru Town","Total","Nakuru","not-started","","","","","",,"",,"","",-0.3031,36.08
"Shell Nakuru","Shell","Nakuru","not-started","","","","","",,"",,"","",-0.2827,36.0666
"Rubis Nakuru","Rubis","Nakuru","not-started","","","","","",,"",,"","",-0.2983,36.0758
"Ola Nakuru","Ola","Nakuru","not-started","","","","","",,"",,"","",-0.2945,36.0713
"Galana Nakuru","Galana","Nakuru","not-started","","","","","",,"",,"","",-0.2889,36.0824
"Total Naivasha","Total","Nakuru","not-started","","","","","",,"",,"","",-0.7167,36.4333
"Shell Naivasha","Shell","Nakuru","not-started","","","","","",,"",,"","",-0.7211,36.4389
"Hass Nakuru","Hass","Nakuru","not-started","","","","","",,"",,"","",-0.2912,36.0685
"Total Eldoret","Total","Uasin Gishu","not-started","","","","","",,"",,"","",0.5143,35.2698
"Shell Eldoret","Shell","Uasin Gishu","not-started","","","","","",,"",,"","",0.52,35.2833
"Ola Eldoret","Ola","Uasin Gishu","not-started","","","","","",,"",,"","",0.5175,35.2765
"Rubis Eldoret","Rubis","Uasin Gishu","not-started","","","","","",,"",,"","",0.5123,35.2721
"Kenol Eldoret","Kenol","Uasin Gishu","not-started","","","","","",,"",,"","",0.5189,35.2812
"Total Thika Road","Total","Kiambu","not-started","","","","","",,"",,"","",-1.223,36.8897
"Shell Ruiru","Shell","Kiambu","not-started","","","","","",,"",,"","",-1.151,36.9605
"Galana Thika","Galana","Kiambu","not-started","","","","","",,"",,"","",-1.0332,37.0692
"Rubis Kikuyu","Rubis","Kiambu","not-started","","","","","",,"",,"","",-1.2456,36.6623
"Total Limuru","Total","Kiambu","not-started","","","","","",,"",,"","",-1.1103,36.6428
